,aspd,attack_max,attack_min,base_exp,def_left,def_right,elem_air,elem_angin,elem_api,elem_ghost,elem_holy,elem_netral,elem_racun,elem_shadow,elem_tanah,elem_undead,element,hp,job_exp,level,mdef_left,mdef_right,move_speed,mvp_exp,name,param_100_hit,param_95_flee,param_agi,param_dex,param_int,param_luk,param_str,param_vit,race,range_attack,range_chase,range_sight,size,url
420,1.03,243,221,0,63,61,100,100,100,0,100,100,100,100,100,100,Netral 3,6120,0,51,15,78,10.0,0,Mimic (1474/Mimic/G_MIMIC),371,385,120,99,15,0,49,20,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1474-G_MIMIC
421,0.55,396,335,0,80,68,150,100,200,175,200,100,-100,-100,50,0,Undead 4,10999,0,53,40,121,3.33,0,Wraith (1475/Wraith/G_WRAITH),280,364,26,76,55,5,62,30,Undead,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1475-G_WRAITH
422,0.98,338,290,0,106,78,100,100,100,0,100,100,100,100,100,100,Netral 3,10647,0,58,53,97,3.33,0,Alarm (1476/Alarm/G_ALARM),335,348,72,55,25,25,70,40,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1476-G_ALARM
423,1.04,309,269,0,101,81,100,80,175,75,100,100,125,100,0,75,Tanah 2,6075,0,59,36,108,10.0,0,Arclouze (1477/Arclouze/G_ARCLOUSE),335,354,73,60,35,15,60,45,Insect,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1477-G_ARCLOUSE
424,1.16,374,352,0,61,75,100,100,100,0,100,100,100,100,100,100,Netral 3,11638,0,59,38,117,6.67,0,Rideword (1478/Rideword/G_RIDEWORD),313,398,53,104,44,5,67,32,Formless,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1478-G_RIDEWORD
425,0.87,266,212,1929,80,66,100,100,100,75,100,100,0,25,100,25,Racun 2,6629,1457,46,42,102,6.25,0,Poisonous Toad (1402/Poisonous Toad/POISON_TOAD),294,339,42,58,45,30,66,40,Beast,3,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1402-POISON_TOAD
426,0.54,321,266,0,95,82,125,100,175,150,200,100,-75,-75,100,0,Undead 3,8691,0,52,41,85,2.86,0,Skeleton Prisoner (1479/Skeleton Prisoner/G_SKEL_PRISONER),290,358,35,71,20,15,84,60,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1479-G_SKEL_PRISONER
427,0.92,369,324,1293,72,62,100,100,150,125,175,100,-50,-50,100,0,Undead 2,3852,1003,47,30,88,5.88,0,Firelock Soldier (1403/Firelock Soldier/ANTIQUE_FIRELOCK),297,365,44,83,30,30,67,30,Undead,10,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1403-ANTIQUE_FIRELOCK
428,0.52,282,216,795,57,48,100,100,100,75,125,100,50,0,100,0,Darkness 1,6300,453,33,19,96,4.0,0,Miyabi Doll (1404/Miyabi Doll/MIYABI_NINGYO),271,341,30,73,55,40,66,30,Demon,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1404-MIYABI_NINGYO
429,0.5,310,278,2278,61,61,25,175,90,100,100,100,100,100,100,100,Air 1,7892,1552,41,38,82,6.06,0,Kapha (1406/Kapha/KAPHA),304,337,59,61,31,24,67,40,Fish,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1406-KAPHA
430,0.69,294,211,4207,134,85,100,80,175,75,100,100,125,100,0,75,Tanah 2,16940,2843,65,46,111,5.0,0,Tengu (1405/Tengu/TENGU),315,367,38,67,30,60,99,40,Demon,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1405-TENGU
431,2.12,345,278,2119,79,75,80,0,100,75,100,100,125,100,175,75,Angin 2,8082,1562,55,50,123,6.9,0,Bloody Butterfly (1408/Bloody Butterfly/BLOOD_BUTTERFLY),329,380,68,90,55,30,70,40,Insect,3,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1408-BLOOD_BUTTERFLY
432,0.8,150,128,231,96,41,100,100,100,70,100,100,100,100,100,100,Netral 1,2098,149,27,12,38,6.25,0,Dumpling Child (1409/Dumpling Child/RICE_CAKE_BOY),272,305,43,43,5,10,50,29,Demi-Human,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1409-RICE_CAKE_BOY
433,2.5,342,270,2591,109,80,100,80,175,75,100,100,125,100,0,75,Tanah 2,8905,1799,53,40,106,2.44,0,Enchanted Peach Tree (1410/Enchanted Peach Tree/LIVE_PEACH_TREE),315,365,52,77,40,50,76,55,Plant,7,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1410-LIVE_PEACH_TREE
434,2.08,500,470,3304,66,78,100,100,100,50,100,100,100,100,100,100,Netral 2,10392,2198,56,46,130,5.26,0,Taoist Hermit (1412/Taoist Hermit/EVIL_CLOUD_HERMIT),322,390,57,99,60,45,63,45,Formless,10,10,12,Besar,https://db.idrowiki.org/klasik/monster/1412-EVIL_CLOUD_HERMIT
435,1.95,594,523,1038,56,76,175,100,0,75,100,100,125,100,80,75,Api 2,6900,692,46,62,117,7.14,0,Hermit Plant (1413/Hermit Plant/WILD_GINSENG),307,357,51,76,60,50,76,60,Plant,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1413-WILD_GINSENG
436,3.14,329,277,352,77,42,100,100,100,125,100,70,100,100,100,100,Ghost 1,2590,201,32,5,44,6.67,0,Baby Leopard (1415/Baby Leopard/BABY_LEOPARD),270,322,36,55,4,10,46,20,Beast,2,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1415-BABY_LEOPARD
437,1.57,468,340,3945,46,85,50,50,50,25,175,100,0,-50,50,0,Darkness 3,16029,2599,63,45,148,5.0,0,Evil Nymph (1416/Evil Nymph/WICKED_NYMPH),321,375,46,77,70,60,84,45,Demon,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1416-WICKED_NYMPH
438,1.28,467,410,370,130,60,100,100,100,75,125,100,50,0,100,0,Darkness 1,2901,225,35,40,78,6.45,0,Zipper Bear (1417/Zipper Bear/ZIPPER_BEAR),290,328,51,58,35,20,68,50,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1417-ZIPPER_BEAR
439,1.7,4203,2217,34288,314,126,100,100,100,175,100,0,50,100,100,100,Ghost 3,254993,17950,73,185,226,5.0,17144,Evil Snake Lord (1418/Evil Snake Lord/DARK_SNAKE_LORD),462,504,172,196,135,88,122,107,Beast,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1418-DARK_SNAKE_LORD
440,0.78,77,68,0,26,18,100,100,100,75,125,100,50,0,100,0,Darkness 1,155,0,8,5,15,6.67,0,Familiar (1419/Familiar/G_FARMILIAR),227,263,19,20,5,1,15,20,Beast,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1419-G_FARMILIAR
441,0.35,113,90,0,47,41,100,100,125,100,150,100,-25,-25,100,0,Undead 1,3040,0,31,10,48,3.33,0,Archer Skeleton (1420/Archer Skeleton/G_ARCHER_SKELETON),261,298,29,32,10,5,30,20,Undead,9,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1420-G_ARCHER_SKELETON
442,0.41,245,216,0,78,48,100,100,150,125,175,100,-50,-50,100,0,Undead 2,5118,0,39,5,59,4.0,0,Ghoul (1423/Ghoul/G_GHOUL),253,301,12,27,11,10,56,19,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1423-G_GHOUL
443,1.48,140,120,0,46,53,80,0,100,75,100,100,125,100,175,75,Angin 2,5242,0,42,20,77,6.67,0,Hunter Fly (1422/Hunter Fly/G_HUNTER_FLY),317,356,72,79,25,15,32,22,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1422-G_HUNTER_FLY
444,0.72,229,192,0,83,54,100,100,100,75,125,100,50,0,100,0,Darkness 1,4828,0,43,5,58,5.0,0,Isis (1421/Isis/G_ISIS),289,317,43,39,5,15,58,22,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1421-G_ISIS
445,0.63,331,301,0,101,60,100,100,100,100,100,100,0,50,100,50,Racun 1,4929,0,43,12,73,5.0,0,Side Winder (1424/Side Winder/G_SIDE_WINDER),278,344,32,66,20,15,52,35,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1424-G_SIDE_WINDER
446,0.79,163,138,0,55,47,0,175,80,75,100,100,75,100,100,75,Air 2,6900,0,36,24,60,6.67,0,Marc (1426/Marc/G_MARC),264,319,24,48,15,20,50,22,Fish,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1426-G_MARC
447,0.53,147,102,0,48,41,0,175,80,75,100,100,75,100,100,75,Air 2,3952,0,31,26,78,5.0,0,Obeaune (1425/Obeaune/G_OBEAUNE),283,302,47,36,40,25,54,21,Fish,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1425-G_OBEAUNE
448,0.55,345,283,0,116,59,100,100,100,175,100,0,50,100,100,100,Ghost 3,4437,0,49,15,76,6.67,0,Nightmare (1427/Nightmare/G_NIGHTMARE),284,354,32,70,15,15,57,20,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1427-G_NIGHTMARE
449,0.6,83,68,0,40,30,100,100,100,100,100,100,0,50,100,50,Racun 1,665,0,19,8,28,5.0,0,Poison Spore (1428/Poison Spore/G_POISON_SPORE),237,274,17,20,5,5,19,22,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1428-G_POISON_SPORE
450,0.56,342,292,0,88,61,100,100,100,100,100,100,0,50,100,50,Racun 1,4382,0,41,32,81,3.33,0,Argiope (1429/Argiope/G_ARGIOPE),270,296,23,20,30,30,60,40,Insect,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1429-G_ARGIOPE
451,0.57,416,356,0,89,82,125,100,175,150,200,100,-75,-75,100,0,Undead 3,11280,0,53,28,71,2.86,0,Zombie Prisoner (1480/Zombie Prisoner/G_ZOMBIE_PRISONER),294,356,39,68,5,10,87,58,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1480-G_ZOMBIE_PRISONER
452,0.56,353,277,0,109,101,100,100,100,50,100,100,100,100,100,100,Netral 2,9572,0,71,30,118,5.0,0,Rybio (1483/Rybio/G_RYBIO),325,386,52,80,30,10,96,61,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1483-G_RYBIO
453,0.67,320,266,0,68,58,90,25,100,100,100,100,125,100,150,100,Angin 1,3620,0,43,55,88,3.33,0,Punk (1481/Punk/G_PUNK),291,357,39,79,35,45,67,30,Plant,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1481-G_PUNK
454,1.25,790,610,0,91,88,100,100,100,0,100,100,100,100,100,100,Netral 3,18300,0,63,99,140,5.0,0,Zealotus (1482/Zealotus/G_ZHERLTHSH),336,411,61,113,62,60,88,51,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1482-G_ZHERLTHSH
455,0.57,614,539,0,307,108,100,100,100,50,100,100,100,100,100,100,Netral 2,22729,0,73,50,111,5.71,0,Phendark (1484/Phendark/G_PHENDARK),344,379,65,71,20,30,111,71,Demi-Human,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1484-G_PHENDARK
456,1.23,1088,677,0,87,108,50,50,50,25,175,100,0,-50,50,0,Darkness 3,29900,0,71,69,161,10.0,0,Ogretooth (1486/Ogretooth/G_TIRFING),389,414,105,108,73,65,105,75,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1486-G_TIRFING
457,1.3,874,515,0,97,103,75,75,75,50,150,100,25,-25,75,0,Darkness 2,28980,0,65,188,159,5.0,0,Executioner (1487/Executioner/G_EXECUTIONER),373,379,96,79,78,60,99,77,Formless,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1487-G_EXECUTIONER
458,0.87,1338,771,0,73,107,25,25,25,0,200,100,-25,-100,25,0,Darkness 4,33350,0,76,61,160,4.0,0,Mysteltainn (1485/Mysteltainn/G_MYSTELTAINN),428,441,139,130,65,65,102,62,Formless,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1485-G_MYSTELTAINN
459,1.89,588,521,0,146,95,100,70,200,50,100,100,100,100,-25,50,Tanah 3,9500,0,61,50,119,3.33,0,Sting (1489/Sting/G_STING),314,383,49,87,43,24,108,68,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1489-G_STING
460,1.11,610,500,0,61,90,0,175,80,75,100,100,75,100,100,75,Air 2,18960,0,63,11,144,5.26,0,Anolian (1488/Anolian/G_ANOLIAN),335,356,63,58,66,48,130,55,Fish,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1488-G_ANOLIAN
461,1.49,816,711,0,64,92,90,25,100,100,100,100,125,100,150,100,Angin 1,8170,0,74,5,107,10.0,0,Wanderer (1490/Wanderer/G_WANDER_MAN),372,416,92,107,15,33,118,36,Demon,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1490-G_WANDER_MAN
462,0.87,347,317,0,85,50,100,100,100,75,125,100,50,0,100,0,Darkness 1,2697,0,33,20,61,4.0,0,Dokebi (1491/Dokebi/G_DOKEBI),294,328,56,60,20,25,52,35,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1491-G_DOKEBI
463,1.14,3132,2196,33095,296,115,50,50,50,25,175,100,0,-50,50,0,Darkness 3,218652,18214,71,140,154,7.41,16547,Samurai Specter (1492/Samurai Specter/INCANTATION_SAMURAI),444,461,161,155,66,60,145,88,Demi-Human,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1492-INCANTATION_SAMURAI
464,1.05,301,266,2763,153,70,100,60,200,25,75,100,75,75,-50,25,Tanah 4,8791,1493,50,8,97,5.88,0,Dryad (1493/Dryad/DRYAD),266,352,14,67,35,10,54,40,Plant,3,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1493-DRYAD
465,0.8,162,110,679,79,39,100,90,150,100,100,100,125,100,25,100,Tanah 1,1874,442,34,8,42,6.06,0,Beetle King (1494/Beetle King/KIND_OF_BEETLE),281,314,47,45,0,0,53,10,Insect,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1494-KIND_OF_BEETLE
466,0.65,334,292,1926,249,73,100,60,200,25,75,100,75,75,-50,25,Tanah 4,9200,1353,51,26,68,6.06,0,Wooden Golem (1497/Wooden Golem/WOODEN_GOLEM),282,335,30,49,5,5,69,45,Plant,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1497-WOODEN_GOLEM
467,0.41,254,201,1238,88,60,200,100,-25,50,100,100,100,100,70,50,Api 3,4104,752,42,15,67,5.71,0,Stone Shooter (1495/Stone Shooter/STONE_SHOOTER),300,354,55,77,15,15,55,36,Plant,10,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1495-STONE_SHOOTER
468,1.17,175,140,886,91,58,100,80,175,75,100,100,125,100,0,75,Tanah 2,3977,453,39,21,68,5.0,0,Wootan Shooter (1498/Wootan Shooter/WOOTAN_SHOOTER),264,343,23,69,20,10,32,38,Demi-Human,10,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1498-WOOTAN_SHOOTER
469,1.1,279,243,1790,103,59,175,100,0,75,100,100,125,100,80,75,Api 2,4457,833,41,8,56,5.0,0,Wootan Fighter (1499/Wootan Fighter/WOOTAN_FIGHTER),258,332,14,56,5,15,63,36,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1499-WOOTAN_FIGHTER
470,1.16,206,161,1098,63,65,80,0,100,75,100,100,125,100,175,75,Angin 2,5188,1453,49,30,111,2.5,0,Parasite (1500/Parasite/PARASITE),335,372,78,88,50,40,55,33,Plant,8,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1500-PARASITE
471,0.6,10000,5000,87250,0,131,100,100,100,100,100,100,0,50,100,50,Racun 1,95000000,27895,99,10,223,6.25,43625,Bring it on! (1502/Bring it on!/PORING_V),450,589,100,255,100,255,100,65,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1502-PORING_V
472,1.09,621,536,4011,116,89,100,100,100,75,125,100,50,0,100,0,Darkness 1,6841,1824,58,45,127,5.56,0,Gibbet (1503/Gibbet/GIBBET),321,354,56,61,55,37,103,62,Demon,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1503-GIBBET
473,1.18,741,666,4517,111,87,100,100,150,125,175,100,-50,-50,100,0,Undead 2,12437,2963,62,38,120,6.45,0,Dullahan (1504/Dullahan/DULLAHAN),291,384,29,87,43,3,121,51,Undead,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1504-DULLAHAN
474,1.34,1017,787,6641,53,94,25,25,25,0,200,100,-25,-100,25,0,Darkness 4,23470,4314,71,44,167,8.0,0,Loli Ruri (1505/Loli Ruri/LOLI_RURI),336,385,50,79,79,79,111,47,Demon,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1505-LOLI_RURI
475,1.94,342,260,2815,85,83,100,60,200,25,75,100,75,75,-50,25,Tanah 4,7543,1919,55,58,143,6.8,0,Disguise (1506/Disguise/DISGUISE),317,357,53,67,75,45,92,57,Demon,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1506-DISGUISE
476,1.09,942,844,9742,84,105,50,50,50,25,175,100,0,-50,50,0,Darkness 3,27521,3559,72,41,131,5.71,0,Bloody Murderer (1507/Bloody Murderer/BLOODY_MURDERER),342,396,65,89,41,26,120,66,Demi-Human,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1507-BLOODY_MURDERER
477,0.8,337,276,4023,90,82,80,0,100,75,100,100,125,100,175,75,Angin 2,14390,2750,62,56,142,5.0,0,Mao Guai (1513/Mao Guai/CIVIL_SERVANT),344,359,76,62,65,30,67,40,Beast,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1513-CIVIL_SERVANT
478,1.12,294,246,2199,84,76,100,100,150,125,175,100,-50,-50,100,0,Undead 2,9981,1022,56,43,90,5.56,0,Yao Jun (1512/Yao Jun/HYEGUN),298,359,38,68,20,20,69,40,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1512-HYEGUN
479,1.12,296,218,392,90,63,100,100,125,100,150,100,-25,-25,100,0,Undead 1,3214,247,36,53,127,6.67,0,Lude (1509/Lude/LUDE),285,340,38,69,82,55,97,55,Undead,2,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1509-LUDE
480,1.1,323,226,414,96,67,100,100,125,100,150,100,-25,-25,100,0,Undead 1,4559,306,40,55,100,6.67,0,Quve (1508/Quve/QUVE),306,346,54,71,50,60,84,55,Undead,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1508-QUVE
481,1.35,349,268,2314,101,87,75,75,75,50,150,100,25,-25,75,0,Darkness 2,7186,1297,51,68,151,6.45,0,Heirozoist (1510/Heirozoist/HYLOZOIST),330,355,67,69,88,60,97,72,Demon,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1510-HYLOZOIST
482,1.17,1762,710,87264,213,148,100,70,200,50,100,100,100,100,-25,50,Tanah 3,1214138,35891,88,123,241,5.88,43632,Amon Ra (1511/Amon Ra/AMON_RA),395,424,89,101,131,92,86,120,Demi-Human,3,14,12,Besar,https://db.idrowiki.org/klasik/monster/1511-AMON_RA
483,1.67,303,268,3030,83,74,80,0,100,75,100,100,125,100,175,75,Angin 2,9136,769,54,36,97,6.25,0,Zhu Po Long (1514/Zhu Po Long/DANCING_DRAGON),336,350,76,61,30,30,59,40,Dragon,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1514-DANCING_DRAGON
484,1.14,444,383,1022,62,88,0,175,80,75,100,100,75,100,100,75,Air 2,20199,2980,61,43,137,2.22,0,Baby Hatii (1515/Baby Hatii/GARM_BABY),331,384,61,88,61,45,69,55,Beast,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1515-GARM_BABY
485,0.87,14,7,84,0,18,25,175,90,100,100,100,100,100,100,100,Air 1,400,45,15,10,35,5.88,0,Boiled Rice (1520/Boiled Rice/BOILED_RICE),223,267,7,17,17,7,7,7,Plant,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1520-BOILED_RICE
486,1.74,3124,1088,5590,210,121,0,175,80,75,100,100,75,100,100,75,Air 2,56380,1659,72,178,216,6.25,0,White Lady (1518/White Lady/BACSOJIN),536,512,244,205,126,102,118,98,Demi-Human,2,10,12,Besar,https://db.idrowiki.org/klasik/monster/1518-BACSOJIN
487,9.43,362,332,2760,112,71,100,70,200,50,100,100,100,100,-25,50,Tanah 3,8230,2110,51,39,112,2.25,0,Mi Gao (1516/Mi Gao/INCREASE_SOIL),280,364,23,78,49,30,67,41,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1516-INCREASE_SOIL
488,0.89,220,179,1643,110,64,100,70,200,50,100,100,100,100,-25,50,Tanah 3,5920,1643,48,37,95,6.06,0,Jing Guai (1517/Jing Guai/LI_ME_MANG_RYANG),274,345,22,62,35,20,61,33,Demon,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1517-LI_ME_MANG_RYANG
489,1.92,493,395,0,93,84,100,100,100,0,100,100,100,100,100,100,Netral 3,10000,0,62,73,147,5.0,0,Alice (1521/Alice/G_ALICE),331,377,53,80,70,80,82,45,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1521-G_ALICE
490,0.56,801,701,0,93,91,100,100,150,125,175,100,-50,-50,100,0,Undead 2,40599,0,64,27,149,5.71,0,Ancient Mummy (1522/Ancient Mummy/G_ANCIENT_MUMMY),324,355,57,56,69,15,126,55,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1522-G_ANCIENT_MUMMY
491,0.92,369,324,0,72,62,100,100,150,125,175,100,-50,-50,100,0,Undead 2,3852,0,47,30,88,5.88,0,Firelock Soldier (1523/Firelock Soldier/G_ANTIQUE_FIRELOCK),297,365,44,83,30,30,67,30,Undead,10,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1523-G_ANTIQUE_FIRELOCK
492,3.14,329,277,0,77,42,100,100,100,125,100,70,100,100,100,100,Ghost 1,2590,0,32,5,44,6.67,0,Baby Leopard (1524/Baby Leopard/G_BABY_LEOPARD),270,322,36,55,4,10,46,20,Beast,2,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1524-G_BABY_LEOPARD
493,0.66,325,229,0,61,64,100,100,100,75,125,100,50,0,100,0,Darkness 1,5415,0,44,89,132,10.0,0,Bathory (1525/Bathory/G_BATHORY),292,335,38,56,77,50,66,40,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1525-G_BATHORY
494,2.12,345,278,0,79,75,80,0,100,75,100,100,125,100,175,75,Angin 2,8082,0,55,50,123,6.9,0,Bloody Butterfly (1526/Bloody Butterfly/G_BLOOD_BUTTERFLY),329,380,68,90,55,30,70,40,Insect,3,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1526-G_BLOOD_BUTTERFLY
495,0.92,456,403,0,91,77,100,80,175,75,100,100,125,100,0,75,Tanah 2,11050,0,60,43,116,5.0,0,Clock (1528/Clock/G_CLOCK),287,376,24,81,41,15,68,35,Formless,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1528-G_CLOCK
496,0.93,458,388,0,96,83,100,100,100,0,100,100,100,100,100,100,Netral 4,18600,0,63,60,103,5.0,0,Clock Tower Manager (1527/Clock Tower Manager/G_C_TOWER_MANAGER),300,371,28,73,25,45,80,40,Formless,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1527-G_C_TOWER_MANAGER
497,0.58,1050,460,2396,8,70,100,100,100,50,100,100,100,100,100,100,Netral 2,23900,993,49,15,91,5.88,0,Green Maiden (1519/Green Maiden/CHUNG_E),317,374,65,90,30,15,38,43,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1519-CHUNG_E
498,1.7,4203,2217,0,314,126,100,100,100,175,100,0,50,100,100,100,Ghost 3,254993,0,73,185,226,5.0,0,Evil Snake Lord (1529/Evil Snake Lord/G_DARK_SNAKE_LORD),462,504,172,196,135,88,122,107,Beast,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1529-G_DARK_SNAKE_LORD
499,0.78,3134,1322,0,152,129,25,25,25,0,200,100,-25,-100,25,0,Darkness 4,320096,0,85,146,198,6.9,0,Dracula (1530/Dracula/G_DRACULA),400,465,99,145,92,82,86,88,Demon,3,10,12,Besar,https://db.idrowiki.org/klasik/monster/1530-G_DRACULA
500,2.08,500,470,0,66,78,100,100,100,50,100,100,100,100,100,100,Netral 2,10392,0,56,46,130,5.26,0,Taoist Hermit (1531/Taoist Hermit/G_EVIL_CLOUD_HERMIT),322,390,57,99,60,45,63,45,Formless,10,10,12,Besar,https://db.idrowiki.org/klasik/monster/1531-G_EVIL_CLOUD_HERMIT
501,0.89,140,118,0,16,37,90,25,100,100,100,100,125,100,150,100,Angin 1,1176,0,25,5,51,10.0,0,Christmas Goblin (1607/Christmas Goblin/G_GOBLINE_XMAS),287,298,53,38,20,45,1,25,Demi-Human,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1607-G_GOBLINE_XMAS
502,1.01,88,76,0,24,27,100,100,100,75,125,100,50,0,100,0,Darkness 1,583,0,19,5,28,3.33,0,Thief Bug Male (1608/Thief Bug Male/G_THIEF_BUG__),248,290,29,36,5,0,1,16,Insect,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1608-G_THIEF_BUG__
503,0.41,50,40,0,0,40,150,100,200,175,200,100,-100,-100,50,0,Undead 4,2872,0,30,0,42,10.0,0,Munak (1610/Munak/A_MUNAK),248,385,15,120,5,15,1,20,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1610-A_MUNAK
504,1.67,303,268,3030,83,74,80,0,100,75,100,100,125,100,175,75,Angin 2,9136,769,54,36,97,6.25,0,Zhu Po Long (1609/Zhu Po Long/G_DANCING_DRAGON),336,350,76,61,30,30,59,40,Dragon,2,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1609-G_DANCING_DRAGON
505,2.6,210,171,492,69,50,100,100,100,70,100,100,100,100,100,100,Netral 1,889,249,26,28,49,3.33,0,Metaling (1613/Metaling/METALING),257,311,30,50,17,5,58,49,Formless,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1613-METALING
506,0.58,218,189,0,88,44,150,100,200,175,200,100,-100,-100,50,0,Undead 4,3520,0,32,5,45,5.0,0,Bongun (1611/Bongun/A_BON_GUN),258,301,24,34,5,10,55,24,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1611-A_BON_GUN
507,1.54,635,578,3563,127,76,100,100,100,50,100,100,100,100,100,100,Netral 2,7950,1768,56,23,120,4.0,0,Mineral (1614/Mineral/MINERAL),327,353,61,62,50,50,70,40,Formless,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1614-MINERAL
508,1.12,1128,710,0,20,74,150,100,200,175,200,100,-100,-100,50,0,Undead 4,9981,0,56,10,80,5.56,0,Yao Jun (1612/Yao Jun/A_HYEGUN),299,364,40,73,10,15,60,36,Undead,1,10,12,Sedang,https://db.idrowiki.org/klasik/monster/1612-A_HYEGUN
509,1.39,670,590,2799,129,70,100,80,175,75,100,100,125,100,0,75,Tanah 2,8812,1802,50,37,122,2.86,0,Obsidian (1615/Obsidian/OBSIDIAN),298,338,38,53,60,50,84,40,Formless,1,10,12,Kecil,https://db.idrowiki.org/klasik/monster/1615-OBSIDIAN
510,1.04,242,182,1799,104,65,100,80,175,75,100,100,125,100,0,75,Tanah 2,5015,1083,43,48,88,5.56,0,Pitman (1616/Pitman/PITMAN),305,328,56,50,35,30,78,45,Undead,1,10,12,Besar,https://db.idrowiki.org/klasik/monster/1616-PITMAN
